date;GW level [cm+MSL]
1994 04 28;326
1994 05 13;320
1994 05 28;321
1994 06 14;325
1994 06 28;310
1994 07 14;301
1994 07 28;292
1994 08 15;293
1994 08 29;288
1994 09 14;300
1994 09 28;309
1994 10 14;305
1994 10 28;293
1994 11 14;290
1994 11 28;296
1994 12 14;300
1994 12 28;313
1995 01 14;332
1995 01 28;370
1995 02 14;338
1995 02 28;333
1995 03 14;323
1995 03 28;328
1995 04 14;323
1995 04 28;321
1995 05 15;312
1995 05 29;318
1995 06 14;323
1995 06 28;318
1995 07 14;306
1995 07 28;305
1995 08 14;273
1995 08 28;268
1995 09 14;286
1995 09 28;293
1995 10 14;293
1995 10 28;281
1995 11 14;264
1995 11 23;268
1995 11 28;268
1995 12 14;253
1995 12 28;273
1996 01 13;290
1996 01 29;269
1996 02 14;248
1996 03 14;273
1996 03 28;258
1996 04 15;273
1996 04 29;278
1996 05 14;276
1996 05 28;284
1996 06 14;288
1996 06 28;287
1996 07 15;283
1996 07 29;293
1996 08 14;288
1996 08 28;287
1996 09 14;288
1996 09 28;276
1996 10 14;279
1996 10 28;284
1996 11 14;314
1996 11 28;314
1996 12 14;314
1996 12 28;306
1997 01 14;293
1997 01 28;272
1997 03 14;306
1997 03 27;299
1997 04 14;300
1997 04 28;297
1997 05 14;301
1997 05 28;309
1997 06 13;290
1997 06 27;290
1997 07 14;306
1997 07 28;309
1997 08 14;302
1997 08 28;289
1997 09 15;286
1997 09 29;278
1997 10 14;279
1997 10 28;279
1997 11 14;258
1997 11 28;248
1997 12 15;268
1997 12 28;302
1998 01 14;311
1998 01 28;303
1998 02 13;280
1998 02 27;266
1998 03 13;315
1998 03 27;315
1998 04 14;318
1998 04 28;325
1998 05 14;310
1998 05 28;300
1998 06 15;335
1998 06 29;302
1998 07 14;300
1998 07 28;290
1998 08 14;284
1998 08 28;280
1998 09 14;316
1998 09 28;319
1998 10 14;326
1998 10 28;364
1998 11 14;355
1998 11 27;325
1998 12 14;322
1998 12 28;332
1999 01 14;333
1999 01 28;328
1999 02 15;328
1999 03 01;342
1999 03 15;334
1999 03 29;329
1999 04 14;338
1999 04 28;329
1999 05 28;327
1999 06 14;328
1999 06 28;319
1999 07 14;318
1999 07 28;316
1999 08 13;297
1999 08 27;310
1999 09 14;286
1999 09 28;275
1999 10 14;284
1999 10 28;275
1999 11 15;278
1999 11 29;276
1999 12 14;320
1999 12 28;353
2000 01 17;316
2000 01 28;308
2000 02 14;324
2000 02 28;333
2000 03 14;336
2000 03 28;319
2000 04 14;315
2000 04 28;310
2000 05 15;310
2000 05 29;321
2000 06 14;316
2000 06 28;306
2000 07 14;300
2000 07 28;321
2000 08 28;304
2000 09 15;301
2000 09 28;304
2000 10 13;313
2000 10 27;302
2000 11 14;305
2000 11 28;329
2000 12 14;325
2000 12 28;309
